,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
149,0.09438348487909083,038,PCA,150,FA,Cognition,all
150,0.0938694568474482,038,PCA,200,FA,Cognition,all
151,0.004430066234083728,038,PCA,38,FA,Cognition,all
152,-0.013995036703991633,038,PCA,1,NOS,Cognition,all
153,0.014610882561468221,038,PCA,2,NOS,Cognition,all
154,-0.0025889610973306044,038,PCA,3,NOS,Cognition,all
155,0.014974211861577628,038,PCA,4,NOS,Cognition,all
156,0.016457573763271352,038,PCA,5,NOS,Cognition,all
157,0.019023419286948534,038,PCA,10,NOS,Cognition,all
158,0.07134295480926299,038,PCA,15,NOS,Cognition,all
159,0.15824473821426305,038,PCA,20,NOS,Cognition,all
160,0.18695176834620725,038,PCA,30,NOS,Cognition,all
161,0.18929955170489138,038,PCA,40,NOS,Cognition,all
162,0.1854848311085437,038,PCA,50,NOS,Cognition,all
163,0.1758000618033836,038,PCA,60,NOS,Cognition,all
164,0.17458424181318505,038,PCA,70,NOS,Cognition,all
165,0.1759345578609478,038,PCA,80,NOS,Cognition,all
166,0.17711151749038773,038,PCA,90,NOS,Cognition,all
167,0.17814554672757182,038,PCA,100,NOS,Cognition,all
168,0.17642348550270706,038,PCA,150,NOS,Cognition,all
169,0.177828763659803,038,PCA,200,NOS,Cognition,all
170,0.18944423853914327,038,PCA,38,NOS,Cognition,all
171,0.040784812514708904,048,PCA,1,MD,Cognition,all
172,0.00488071356055061,048,PCA,2,MD,Cognition,all
173,0.07761297621495072,048,PCA,3,MD,Cognition,all
174,0.05719489587326518,048,PCA,4,MD,Cognition,all
175,0.05318932658784117,048,PCA,5,MD,Cognition,all
176,0.023304526824161443,048,PCA,10,MD,Cognition,all
177,0.011718843052670742,048,PCA,15,MD,Cognition,all
178,0.0031555078970765603,048,PCA,20,MD,Cognition,all
179,-0.013398028943824492,048,PCA,30,MD,Cognition,all
180,-0.023447715650062883,048,PCA,40,MD,Cognition,all
181,-0.03364895084718704,048,PCA,50,MD,Cognition,all
182,-0.04118957354910067,048,PCA,60,MD,Cognition,all
183,-0.04566923064428934,048,PCA,70,MD,Cognition,all
184,-0.04986920228017584,048,PCA,80,MD,Cognition,all
185,-0.05131014005415089,048,PCA,90,MD,Cognition,all
186,-0.054503591988287525,048,PCA,100,MD,Cognition,all
187,0.0032833991826622766,048,PCA,150,MD,Cognition,all
188,-0.01373146060820495,048,PCA,200,MD,Cognition,all
189,-0.03125163175639591,048,PCA,48,MD,Cognition,all
190,0.06949816198260886,048,PCA,1,FA,Cognition,all
191,0.07446507571568685,048,PCA,2,FA,Cognition,all
192,0.16398240397869845,048,PCA,3,FA,Cognition,all
193,0.15305025164913386,048,PCA,4,FA,Cognition,all
194,0.14122293286720178,048,PCA,5,FA,Cognition,all
195,0.12016703319229896,048,PCA,10,FA,Cognition,all
196,0.11024087901447902,048,PCA,15,FA,Cognition,all
197,0.10125440198939445,048,PCA,20,FA,Cognition,all
198,0.08767162690158405,048,PCA,30,FA,Cognition,all
199,0.0783081566070257,048,PCA,40,FA,Cognition,all
200,0.06994465242091075,048,PCA,50,FA,Cognition,all
201,0.06524083859510023,048,PCA,60,FA,Cognition,all
202,0.06223207456109073,048,PCA,70,FA,Cognition,all
203,0.055971677862233546,048,PCA,80,FA,Cognition,all
204,0.053367795684655876,048,PCA,90,FA,Cognition,all
205,0.04977678993756433,048,PCA,100,FA,Cognition,all
206,0.06524515118299351,048,PCA,150,FA,Cognition,all
207,0.06177356321958438,048,PCA,200,FA,Cognition,all
208,0.07204814020936828,048,PCA,48,FA,Cognition,all
209,-0.03529227026711269,048,PCA,1,NOS,Cognition,all
210,-0.04226167050655029,048,PCA,2,NOS,Cognition,all
